mkl	openblas	pthreads	iteration
486	509	7279	7798
663	645	5459	7790
460	585	5375	7700
464	471	5123	7791
476	466	5581	12288
458	458	5332	8531
462	460	5532	7701
459	481	5060	7690
359	358	5058	7712
358	356	5629	7737
395	361	5381	7652
374	357	5381	7809
361	357	5608	9422
361	387	4981	7831
360	359	5353	7795
300	312	4940	7780
294	297	5003	7646
291	292	5130	7645
296	292	11704	7685
292	294	6965	7644
303	299	6323	7644
297	299	7294	7844
298	291	5498	7779
288	296	5851	7644
258	249	5327	7777
250	247	6914	7682
247	273	7414	8118
248	253	6438	8562
252	250	5778	7863
251	249	6111	7729
249	246	5076	7655
252	247	5488	7707
248	250	5993	7684
247	253	5182	7646
232	232	6217	7788
229	232	6244	7730
231	235	5087	7646
232	229	5413	7696
241	249	6015	7681
220	229	5459	7747
223	231	6224	7803
225	230	6380	7760
221	232	4952	7705
221	229	5771	7647
228	231	6014	7645
222	238	5342	7643
222	230	6270	7753
227	237	6209	7730
222	225	5249	7730
222	222	7240	8130
218	222	5480	8714
214	224	6362	7684
214	221	5347	8497
217	221	4970	7795
214	218	5066	8016
213	213	5484	7707
218	215	5541	7708
217	214	5336	7761
213	216	5444	7650
217	214	5565	7695
225	214	5224	7766
216	217	5829	7693
214	215	5853	7746
232	218	5622	7684
216	218	6203	7679
214	213	6238	7681
217	214	5226	7774
216	217	5703	7682
214	214	4861	7681
218	213	5851	7646
214	217	5872	7696
215	214	5572	7714
218	215	5390	12282
214	225	5823	8658
214	216	5547	8236
220	213	5529	8092
218	215	5129	7942
214	217	5184	7918
213	213	5244	8267
217	214	4930	8302
215	218	7229	8123
214	214	5441	8072
216	217	6850	8092
215	217	5094	8262
217	228	5570	8339
219	219	5113	8059
230	217	5582	8036
232	215	5307	8133
224	216	5457	8237
225	219	4949	8107
215	214	5880	8150
217	216	5614	8092
217	219	6071	8162
214	219	5113	11380
219	214	4993	10842
216	219	5053	8340
216	218	5767	8333
214	214	6163	8312
225	214	5945	8129
214	216	5297	8020

