mkl	opeblas	pthreads	iteration
2147	2144	62590	80193
2139	2136	64761	89125
2142	2146	55589	81365
2187	2142	59689	82200
2147	2157	58774	80520
2148	2135	53433	79186
2143	2136	59876	76770
2137	2209	55736	76932
2134	2332	56374	78998
2133	2187	54097	77395
2133	2170	58453	78338
2131	2192	56796	77131
2132	2137	55801	80160
2138	2137	53979	76945
2133	2131	55932	90328
2133	2139	56360	77224
2136	2134	55930	76951
2149	2133	56924	80336
2143	2153	54283	77907
2135	2151	77482	78626
2316	2131	55292	77411
2167	2130	52209	78471
2149	2130	57114	76972
2286	2284	54546	78713
2529	2627	56949	79840
2142	2157	56430	76736
2184	2160	54546	78502
2141	2152	56311	77802
2149	2142	54684	78259
2260	2135	57193	77280
2172	2143	55734	78831
2143	2136	55587	77108
2144	2137	56663	77017
2153	2136	55066	78543
2136	2148	56433	78010
2153	2146	57591	82069
2140	2134	57345	77039
2138	2143	55651	78226
2133	2134	55349	76718
2136	2132	55872	77187
2138	2140	53716	77896
2133	2129	56206	77410
2132	2146	57623	79190
2131	2130	55666	77119
2135	2129	55282	78444
2133	2292	59198	77074
2134	2194	54918	78035
2138	2208	53622	77312
2138	2145	52177	77358
2134	2135	58534	82748
2134	2151	55353	77200
2138	2153	57207	78514
2138	2135	52217	76960
2137	2136	53866	78313
2140	2135	54257	76852
2140	2130	57683	78394
2139	2129	54551	78733
2146	2133	54812	79108
2138	2149	54341	82421
2136	2145	56276	78626
2144	2130	53470	82555
2144	2129	52620	77088
2131	2131	54476	82827
2153	2138	58693	77109
2148	2134	53879	78430
2140	2156	56314	80620
2136	2145	57601	76765
2134	2134	57483	82008
2134	2135	57224	77795
2139	2132	54560	82332
2132	2139	54054	76868
2141	2134	53337	78403
2135	2136	55093	78575
2142	2142	57097	77357
2137	2137	55628	78137
2142	2131	52309	77131
2136	2140	57090	78837
2135	2129	54339	77589
2132	2136	54940	78136
2146	2132	56359	77423
2161	2130	57328	79493
2137	2143	54323	77265
2138	2134	56646	76814
2134	2139	54681	79188
2133	2131	55380	78583
2130	2128	55420	78842
2132	2138	53138	77380
2130	2135	55077	82651
2137	2132	54063	76853
2131	2146	57161	77051
2127	2138	56340	77863
2128	2144	54270	76715
2135	2140	56610	78529
2135	2141	55842	78857
2130	2135	56165	78319
2133	2135	53783	78141
2137	2134	56583	82216
2135	2138	54949	77186
2137	2136	56320	76834
2135	2144	52757	78377

